,Treatment,Condition,Location,Depth,meanO2,sdO2,,,
83,Present-Day,Day-time,Coral Tissue,190,307.5412629,101.2240396,,,
84,Present-Day,Day-time,Coral Tissue,200,306.4266505,102.7038855,,,
85,Acidified (OA),Night-time,Turf Algae,0,34.43,36.81,34.43 Å} 36.81 ?mol L-1,Å},?mol L-1
86,Acidified (OA),Night-time,Turf Algae,10,40.69942101,44.35028354,,,
87,Acidified (OA),Night-time,Turf Algae,20,50.11234434,54.21316387,,,
88,Acidified (OA),Night-time,Turf Algae,30,59.96300999,67.28840059,,,
89,Acidified (OA),Night-time,Turf Algae,40,71.19086914,83.487665,,,
90,Acidified (OA),Night-time,Turf Algae,50,84.41074403,101.427606,,,
91,Acidified (OA),Night-time,Turf Algae,60,90.27664864,110.0075706,,,
92,Acidified (OA),Night-time,Turf Algae,70,94.82501641,114.8955271,,,
93,Acidified (OA),Night-time,Turf Algae,80,98.64482296,118.5895154,,,
94,Acidified (OA),Night-time,Turf Algae,90,102.0919489,121.4276814,,,
95,Acidified (OA),Night-time,Turf Algae,100,104.611045,123.5338798,,,
96,Acidified (OA),Night-time,Turf Algae,110,106.8037271,125.2907196,,,
97,Acidified (OA),Night-time,Turf Algae,120,108.9345595,126.5799287,,,
98,Acidified (OA),Night-time,Turf Algae,130,110.977504,127.0234566,,,
99,Acidified (OA),Night-time,Turf Algae,140,111.8234971,127.7254012,,,
100,Acidified (OA),Night-time,Turf Algae,150,113.4595235,128.4903616,,,
101,Acidified (OA),Night-time,Turf Algae,160,114.7524646,128.6490362,,,
102,Acidified (OA),Night-time,Turf Algae,170,115.376299,128.6951871,,,
103,Acidified (OA),Night-time,Turf Algae,180,116.4937314,128.6575788,,,
104,Acidified (OA),Night-time,Turf Algae,190,117.3886885,128.6979026,,,
105,Acidified (OA),Night-time,Turf Algae,200,118.3523543,127.8806722,,,
106,Acidified (OA),Night-time,Coral Tissue,0,138.46,128.17,138.46 Å} 128.17 ?mol L-1,Å},?mol L-1
107,Acidified (OA),Night-time,Coral Tissue,10,156.6457834,116.7777169,,,
108,Acidified (OA),Night-time,Coral Tissue,20,173.648448,121.2484226,,,
109,Acidified (OA),Night-time,Coral Tissue,30,176.9334539,95.51544224,,,
110,Acidified (OA),Night-time,Coral Tissue,40,177.7688933,88.36616937,,,
111,Acidified (OA),Night-time,Coral Tissue,50,184.7960348,89.26460345,,,
112,Acidified (OA),Night-time,Coral Tissue,60,191.4750996,89.09476534,,,
113,Acidified (OA),Night-time,Coral Tissue,70,201.5517956,87.1171181,,,
114,Acidified (OA),Night-time,Coral Tissue,80,205.5296784,84.7771749,,,
115,Acidified (OA),Night-time,Coral Tissue,90,210.5221806,87.02982619,,,
116,Acidified (OA),Night-time,Coral Tissue,100,210.2301903,84.28493757,,,
117,Acidified (OA),Night-time,Coral Tissue,110,217.8527361,85.53887368,,,
118,Acidified (OA),Night-time,Coral Tissue,120,226.1872514,82.81073928,,,
119,Acidified (OA),Night-time,Coral Tissue,130,232.5472495,77.97174922,,,
120,Acidified (OA),Night-time,Coral Tissue,140,230.5829868,74.68038729,,,
121,Acidified (OA),Night-time,Coral Tissue,150,236.348697,74.80037149,,,
122,Acidified (OA),Night-time,Coral Tissue,160,235.2761987,71.08963981,,,
123,Acidified (OA),Night-time,Coral Tissue,170,241.1095575,71.96950658,,,
124,Acidified (OA),Night-time,Coral Tissue,180,242.1232065,69.58527164,,,
125,Acidified (OA),Night-time,Coral Tissue,190,245.4332053,68.60773783,,,
126,Acidified (OA),Night-time,Coral Tissue,200,246.2287178,66.72168193,,,
127,Acidified (OA),Day-time,Turf Algae,0,757.85,484.04,757.85 Å} 484.04 ?mol L-1,Å},?mol L-1
128,Acidified (OA),Day-time,Turf Algae,10,744.5482905,477.5789255,,,
129,Acidified (OA),Day-time,Turf Algae,20,734.888863,468.9666427,,,
130,Acidified (OA),Day-time,Turf Algae,30,722.7736217,454.3383018,,,
131,Acidified (OA),Day-time,Turf Algae,40,709.050553,438.2776619,,,
132,Acidified (OA),Day-time,Turf Algae,50,693.956664,419.5672586,,,
133,Acidified (OA),Day-time,Turf Algae,60,678.8921876,401.4351012,,,
134,Acidified (OA),Day-time,Turf Algae,70,661.938003,383.8777531,,,
135,Acidified (OA),Day-time,Turf Algae,80,645.2124754,362.8958801,,,
136,Acidified (OA),Day-time,Turf Algae,90,628.6403247,345.9229088,,,
137,Acidified (OA),Day-time,Turf Algae,100,613.7774856,331.3758019,,,
138,Acidified (OA),Day-time,Turf Algae,110,603.2030253,319.3376695,,,
139,Acidified (OA),Day-time,Turf Algae,120,596.8780438,309.2281085,,,
140,Acidified (OA),Day-time,Turf Algae,130,588.7962305,300.8378084,,,
141,Acidified (OA),Day-time,Turf Algae,140,576.8604538,294.8488436,,,
142,Acidified (OA),Day-time,Turf Algae,150,560.7064418,293.1718575,,,
143,Acidified (OA),Day-time,Turf Algae,160,547.0045229,291.8249513,,,
144,Acidified (OA),Day-time,Turf Algae,170,533.6132163,289.3875822,,,
145,Acidified (OA),Day-time,Turf Algae,180,518.9366123,287.8183835,,,
146,Acidified (OA),Day-time,Turf Algae,190,511.6565699,279.0607027,,,
147,Acidified (OA),Day-time,Turf Algae,200,496.8950132,274.8354217,,,
148,Acidified (OA),Day-time,Coral Tissue,0,597.27,154.18,597.27 Å} 154.18 ?mol L-1,Å},?mol L-1
149,Acidified (OA),Day-time,Coral Tissue,10,566.2405294,163.8433409,,,
150,Acidified (OA),Day-time,Coral Tissue,20,532.8883642,157.9238506,,,
151,Acidified (OA),Day-time,Coral Tissue,30,505.1461283,144.4152915,,,
152,Acidified (OA),Day-time,Coral Tissue,40,481.2323379,129.0030319,,,
153,Acidified (OA),Day-time,Coral Tissue,50,460.558787,120.3957436,,,
154,Acidified (OA),Day-time,Coral Tissue,60,441.2834142,119.2442507,,,
155,Acidified (OA),Day-time,Coral Tissue,70,429.9939524,114.6408897,,,
156,Acidified (OA),Day-time,Coral Tissue,80,410.9545949,112.1604048,,,
157,Acidified (OA),Day-time,Coral Tissue,90,398.7565333,114.0412172,,,
158,Acidified (OA),Day-time,Coral Tissue,100,386.3588104,112.9887542,,,
159,Acidified (OA),Day-time,Coral Tissue,110,374.3555781,110.5351595,,,
160,Acidified (OA),Day-time,Coral Tissue,120,371.9381612,109.6346604,,,
161,Acidified (OA),Day-time,Coral Tissue,130,369.695666,109.4718141,,,
162,Acidified (OA),Day-time,Coral Tissue,140,366.8599625,105.2853555,,,
163,Acidified (OA),Day-time,Coral Tissue,150,361.7896118,96.93678564,,,
164,Acidified (OA),Day-time,Coral Tissue,160,348.2829259,92.6357849,,,
165,Acidified (OA),Day-time,Coral Tissue,170,345.2350032,87.48103978,,,
166,Acidified (OA),Day-time,Coral Tissue,180,341.2733409,80.77586703,,,
167,Acidified (OA),Day-time,Coral Tissue,190,336.8923289,68.79242175,,,
168,Acidified (OA),Day-time,Coral Tissue,200,339.4484482,60.93142808,,,
