ID,Treatment,Species,Type,Start,Start_Tot,End,End_Tot,Start_%,End_%,%_Change,Days,Day_Rate,Experiment
4A-02 (1),Pr,Porites,Algae,327470,706774,2946236,3412434,0.46333057,0.863382559,0.40005199,111,0.003604072,Shimoda
4A-01 (6),Pr,Porites,Algae,305311,699860,1458574,3649350,0.436245821,0.399680491,-0.03656533,111,-0.000329417,Shimoda
4B-02 (7),Pr,Porites,Algae,332751,676834,1121314,3432672,0.491628671,0.326659232,-0.164969439,111,-0.001486211,Shimoda
4B-01 (8),Pr,Porites,Algae,198183,469035,1224258,3231969,0.4225335,0.378796331,-0.043737168,111,-0.000394029,Shimoda
1_2A,OA,Porites,Coral,14.976,26.403,3.952,26.449,0.567208272,0.149419638,-0.417788634,31,-0.013477053,Sesoko
1_2A,OA,Acropora,Coral,13.993,30.205,17.172,34.439,0.463267671,0.49862075,0.035353079,31,0.001140422,Sesoko
3_2B,OA,Porites,Coral,9.241,23.213,0,20.233,0.398095895,0,-0.398095895,31,-0.012841803,Sesoko
3_2B,OA,Acropora,Coral,16.497,31.433,0,44.689,0.524830592,0,-0.524830592,31,-0.016930019,Sesoko
4_2C,OA,Porites,Coral,10.516,20.466,0,22.53,0.513827812,0,-0.513827812,31,-0.016575091,Sesoko
4_2C,OA,Acropora,Coral,11.575,22.033,11.077,23.547,0.525348341,0.47042086,-0.054927481,31,-0.001771854,Sesoko
3_2D,Pr,Porites,Coral,14.125,34.245,0,29.064,0.412468974,0,-0.412468974,31,-0.013305451,Sesoko
3_2D,Pr,Acropora,Coral,11.057,19.942,11.251,19.71,0.554457928,0.570826991,0.016369063,31,0.000528034,Sesoko
4_2E,Pr,Porites,Coral,10.968,18.86,0,15.675,0.58154825,0,-0.58154825,31,-0.018759621,Sesoko
4_2E,Pr,Acropora,Coral,15.101,25.707,11.972,18.422,0.587427549,0.649875149,0.0624476,31,0.002014439,Sesoko
1_1A,Pr,Porites,Coral,14.033,23.001,11.961,20.516,0.610103909,0.583008384,-0.027095525,31,-0.000874049,Sesoko
1_1A,Pr,Acropora,Coral,11.733,24.084,12.473,28.759,0.487169905,0.433707709,-0.053462196,31,-0.001724587,Sesoko
2_1B,OA,Porites,Coral,16.3,34.125,0,28.506,0.477655678,0,-0.477655678,31,-0.015408248,Sesoko
2_1B,OA,Acropora,Coral,21.089,38.982,16.828,36.324,0.540993279,0.46327497,-0.077718309,31,-0.002507042,Sesoko
2_1C,Pr,Porites,Coral,10.694,18.406,6.925,17.807,0.581006194,0.388892009,-0.192114185,31,-0.006197232,Sesoko
2_1C,Pr,Acropora,Coral,13.136,21.43,10.675,18.303,0.612972469,0.583237721,-0.029734748,31,-0.000959185,Sesoko
5_1D,OA,Porites,Coral,11.949,23.429,0,41.077,0.510008963,0,-0.510008963,31,-0.016451902,Sesoko
5_1D,OA,Acropora,Coral,14.742,22.8,11.081,24.4,0.646578947,0.454139344,-0.192439603,31,-0.006207729,Sesoko
5_1E,Pr,Porites,Coral,11.159,21.721,4.005,29.853,0.513742461,0.134157371,-0.37958509,31,-0.01224468,Sesoko
5_1E,Pr,Acropora,Coral,13.247,23.548,0,27.292,0.562553083,0,-0.562553083,31,-0.018146874,Sesoko
1_2A,OA,Porites,Algae,11.427,26.403,22.497,26.449,0.432791728,0.850580362,0.417788634,31,0.013477053,Sesoko
1_2A,OA,Acropora,Algae,16.212,30.205,17.267,34.439,0.536732329,0.50137925,-0.035353079,31,-0.001140422,Sesoko
3_2B,OA,Porites,Algae,13.972,23.213,20.233,20.233,0.601904105,1,0.398095895,31,0.012841803,Sesoko
3_2B,OA,Acropora,Algae,14.936,31.433,44.689,44.689,0.475169408,1,0.524830592,31,0.016930019,Sesoko
4_2C,OA,Porites,Algae,9.95,20.466,22.53,22.53,0.486172188,1,0.513827812,31,0.016575091,Sesoko
4_2C,OA,Acropora,Algae,10.458,22.033,12.47,23.547,0.474651659,0.52957914,0.054927481,31,0.001771854,Sesoko
3_2D,Pr,Porites,Algae,20.12,34.245,29.064,29.064,0.587531026,1,0.412468974,31,0.013305451,Sesoko
3_2D,Pr,Acropora,Algae,8.885,19.942,8.459,19.71,0.445542072,0.429173009,-0.016369063,31,-0.000528034,Sesoko
4_2E,Pr,Porites,Algae,7.892,18.86,15.675,15.675,0.41845175,1,0.58154825,31,0.018759621,Sesoko
4_2E,Pr,Acropora,Algae,10.606,25.707,6.45,18.422,0.412572451,0.350124851,-0.0624476,31,-0.002014439,Sesoko
1_1A,Pr,Porites,Algae,8.968,23.001,8.555,20.516,0.389896091,0.416991616,0.027095525,31,0.000874049,Sesoko
1_1A,Pr,Acropora,Algae,12.351,24.084,16.286,28.759,0.512830095,0.566292291,0.053462196,31,0.001724587,Sesoko
2_1B,OA,Porites,Algae,17.825,34.125,28.506,28.506,0.522344322,1,0.477655678,31,0.015408248,Sesoko
2_1B,OA,Acropora,Algae,17.893,38.982,19.496,36.324,0.459006721,0.53672503,0.077718309,31,0.002507042,Sesoko
2_1C,Pr,Porites,Algae,7.712,18.406,10.882,17.807,0.418993806,0.611107991,0.192114185,31,0.006197232,Sesoko
2_1C,Pr,Acropora,Algae,8.294,21.43,7.628,18.303,0.387027531,0.416762279,0.029734748,31,0.000959185,Sesoko
5_1D,OA,Porites,Algae,11.48,23.429,41.077,41.077,0.489991037,1,0.510008963,31,0.016451902,Sesoko
5_1D,OA,Acropora,Algae,8.058,22.8,13.319,24.4,0.353421053,0.545860656,0.192439603,31,0.006207729,Sesoko
5_1E,Pr,Porites,Algae,10.562,21.721,25.848,29.853,0.486257539,0.865842629,0.37958509,31,0.01224468,Sesoko
5_1E,Pr,Acropora,Algae,10.301,23.548,27.292,27.292,0.437446917,1,0.562553083,31,0.018146874,Sesoko
