ID,Treatment,Species,Type,Vol_L,Experiment,perhalfDay
4D 03,OA,Porites,Light,15.979,Shimoda,2.822017678
4A 01,Pr,Acropora,Dark,15.979,Shimoda,-0.251068225
4A 02,Pr,Acropora,Dark,15.979,Shimoda,-0.864522358
4A 03,OA,Acropora,Dark,15.979,Shimoda,-0.263134004
4A 04,OA,Acropora,Dark,15.979,Shimoda,-1.974533451
4A 05,OA,Acropora,Dark,15.979,Shimoda,-12.67274355
4A 06,OA,Acropora,Dark,15.979,Shimoda,-4.189985856
4A 07,Pr,Acropora,Dark,15.979,Shimoda,-0.629481772
4A 08,Pr,Acropora,Dark,15.979,Shimoda,-1.282109228
4B 01,Pr,Acropora,Dark,15.979,Shimoda,-0.173337948
4B 02,Pr,Acropora,Dark,15.979,Shimoda,-0.296036542
4B 03,OA,Acropora,Dark,15.979,Shimoda,-5.842387853
4B 04,OA,Acropora,Dark,15.979,Shimoda,-0.334567309
4B 05,Pr,Acropora,Dark,15.979,Shimoda,0.084857082
4B 06,OA,Acropora,Dark,15.979,Shimoda,-0.115994801
4B 07,OA,Acropora,Dark,15.979,Shimoda,-16.4960143
4B 08,Pr,Acropora,Dark,15.979,Shimoda,-3.960527079
4C 02,OA,Acropora,Dark,15.979,Shimoda,-0.872635355
4C 03,Pr,Acropora,Dark,15.979,Shimoda,1.250849073
4D 02,Pr,Acropora,Dark,15.979,Shimoda,-0.590998981
4D 03,OA,Acropora,Dark,15.979,Shimoda,1.266572634
4A 01,Pr,Porites,Dark,15.979,Shimoda,-1.610370622
4A 02,Pr,Porites,Dark,15.979,Shimoda,-2.102372867
4A 03,OA,Porites,Dark,15.979,Shimoda,-4.21831751
4A 04,OA,Porites,Dark,15.979,Shimoda,-2.205370765
4A 05,OA,Porites,Dark,15.979,Shimoda,-14.03845064
4A 06,OA,Porites,Dark,15.979,Shimoda,-5.713628109
4A 07,Pr,Porites,Dark,15.979,Shimoda,-1.883369484
4A 08,Pr,Porites,Dark,15.979,Shimoda,-2.476218112
4B 01,Pr,Porites,Dark,15.979,Shimoda,-2.088049302
4B 02,Pr,Porites,Dark,15.979,Shimoda,-1.261124402
4B 03,OA,Porites,Dark,15.979,Shimoda,-1.912322434
4B 04,OA,Porites,Dark,15.979,Shimoda,-0.686770188
4B 05,Pr,Porites,Dark,15.979,Shimoda,-1.22755927
4B 06,OA,Porites,Dark,15.979,Shimoda,-0.452102124
4B 07,OA,Porites,Dark,15.979,Shimoda,-5.944445541
4B 08,Pr,Porites,Dark,15.979,Shimoda,-3.638954303
4C 02,OA,Porites,Dark,15.979,Shimoda,-5.226078631
4C 03,Pr,Porites,Dark,15.979,Shimoda,-1.105383446
4D 02,Pr,Porites,Dark,15.979,Shimoda,-4.373574667
4D 03,OA,Porites,Dark,15.979,Shimoda,-1.07067914
1A,OA,Acropora,Light,3.5,Sesoko,-3.082223714
1A,OA,Acropora,Dark,3.5,Sesoko,-1.504410857
1A,OA,Porites,Dark,3.5,Sesoko,-10.41892286
1A,OA,Porites,Light,3.5,Sesoko,7.791333143
1B,Pr,Acropora,Light,3.5,Sesoko,0.750206286
1B,Pr,Acropora,Dark,3.5,Sesoko,-20.32264457
1B,Pr,Porites,Dark,3.5,Sesoko,-17.49864486
1B,Pr,Porites,Light,3.5,Sesoko,26.09268943
1C,OA,Acropora,Light,3.5,Sesoko,-19.66375486
1D,Pr,Porites,Dark,3.5,Sesoko,-11.59398143
1D,Pr,Porites,Light,3.5,Sesoko,12.00418457
1E,OA,Acropora,Light,3.5,Sesoko,6.052614
1E,OA,Acropora,Dark,3.5,Sesoko,1.145902
1E,OA,Porites,Dark,3.5,Sesoko,-9.128167429
1E,OA,Porites,Light,3.5,Sesoko,15.96100457
2A,Pr,Acropora,Light,3.5,Sesoko,2.161186286
2A,Pr,Acropora,Dark,3.5,Sesoko,-8.208937143
2A,Pr,Porites,Dark,3.5,Sesoko,1.772816286
2A,Pr,Porites,Light,3.5,Sesoko,29.88192686
2B,Pr,Acropora,Light,3.5,Sesoko,5.180956
